DataNo,FrameNo,SampleNo,Ch0,Ch1
183,183,0,-0.030518,-0.028687
184,184,0,-0.040283,-0.013123
185,185,0,-0.008545,-0.011902
186,186,0,0.00824,-0.011597
187,187,0,-0.025635,-0.003052
188,188,0,-0.005798,-0.015869
189,189,0,0.029602,-0.000916
190,190,0,0.067749,-0.007324
191,191,0,-0.090637,-0.025635
192,192,0,0.019226,-0.002136
193,193,0,0.023804,-0.010071
194,194,0,0.006104,-0.028381
195,195,0,0.006409,-0.015869
196,196,0,0.049744,-0.00824
197,197,0,0.021057,-0.028381
198,198,0,0.007019,-0.016174
199,199,0,0.064697,-0.005798
200,200,0,-0.056152,-0.018921
201,201,0,0.094604,-0.003662
202,202,0,-0.039978,-0.003662
203,203,0,0.064087,-0.000916
204,204,0,0.037537,0.000916
205,205,0,0.032654,-0.007629
206,206,0,0.038452,-0.007935
207,207,0,0.015564,-0.007629
208,208,0,0.045776,-0.007935
209,209,0,-0.02533,-0.010681
210,210,0,0.00824,-0.014954
211,211,0,-0.028381,-0.013733
212,212,0,-0.043335,-0.0177
213,213,0,0.017395,0.004272
214,214,0,0.013733,-0.013428
215,215,0,-0.00824,-0.020142
216,216,0,-0.058289,-0.043335
217,217,0,0.014038,-0.014954
218,218,0,-0.004578,-0.036011
219,219,0,0.015259,-0.013428
220,220,0,0.020142,-0.011597
221,221,0,0.022583,-0.018005
222,222,0,0.00824,-0.013428
223,223,0,-0.010986,-0.011597
224,224,0,-0.040283,-0.016785
225,225,0,-0.000916,-0.02594
226,226,0,-0.013428,-0.00885
227,227,0,0.007629,-0.022888
228,228,0,0.0177,-0.032043
229,229,0,-0.002441,-0.003662
230,230,0,0.043335,-0.012817
231,231,0,-0.018616,-0.015564
232,232,0,0.032349,-0.013733
233,233,0,0.019531,-0.018005
234,234,0,0.038757,-0.019836
235,235,0,0.061951,-0.003967
236,236,0,-0.067749,-0.024109
237,237,0,0.010986,-0.014648
238,238,0,0.049438,-0.004578
239,239,0,-0.036926,-0.021973
240,240,0,0.036316,0.017395
241,241,0,-0.018005,-0.016785
242,242,0,0.051575,0.003967
243,243,0,-0.011597,0.006409
244,244,0,0.000305,-0.012817
245,245,0,0.02533,-0.005798
246,246,0,-0.046082,-0.014954
247,247,0,0.053711,-0.007019
248,248,0,0.057678,-0.006714
249,249,0,0.047607,-0.005798
250,250,0,0.032959,-0.000916
251,251,0,0.005798,-0.022888
252,252,0,-0.030823,-0.021973
253,253,0,0.03479,-0.00824
254,254,0,-0.00061,-0.036011
255,255,0,0.004578,-0.009766
256,256,0,0.014038,0.004272
257,257,0,-0.072021,-0.022278
258,258,0,-0.011597,-0.041809
259,259,0,-0.077515,-0.015259
260,260,0,-0.001526,-0.021362
261,261,0,0.013428,0.006714
262,262,0,-0.009155,0.002441
263,263,0,0.066223,-0.00885
264,264,0,0.035706,-0.009766
265,265,0,-0.003967,-0.010986
266,266,0,-0.007629,-0.012817
267,267,0,0.002747,-0.02594
268,268,0,0.059814,0.005188
269,269,0,-0.003357,-0.013123
270,270,0,0.073853,0.005188
271,271,0,0.038757,0.004578
272,272,0,0.005493,-0.010681
273,273,0,0.020752,0.006714
274,274,0,-0.001221,0.001831
275,275,0,0.022888,0.007019
276,276,0,-0.019531,-0.014343
277,277,0,0.001221,-0.002747
278,278,0,0.045776,-0.001526
279,279,0,-0.031433,-0.010071
280,280,0,-0.0177,-0.014648
281,281,0,-0.007019,-0.02655
282,282,0,0.005798,-0.004578
283,283,0,-0.040894,-0.035095
284,284,0,0.035706,-0.021667
285,285,0,-0.00946,-0.009155
286,286,0,0.022888,-0.011292
287,287,0,0.041199,0.013428
288,288,0,0.009766,-0.033875
289,289,0,0.001221,-0.007324
290,290,0,0.015869,-0.013733
291,291,0,-0.092773,-0.021667
292,292,0,0.018005,-0.016479
293,293,0,-0.020142,-0.037537
294,294,0,0.013123,-0.03418
295,295,0,0.029907,0.00061
296,296,0,0,-0.028381
297,297,0,0.014038,-0.006104
298,298,0,0.100403,-0.002136
299,299,0,0.057373,-0.003662
300,300,0,0.013428,-0.00824
301,301,0,0.014954,-0.011292
302,302,0,0.022888,-0.008545
303,303,0,-0.018616,-0.013733
304,304,0,-0.045166,-0.007935
305,305,0,0.03418,0.010681
306,306,0,0.006104,-0.031128
307,307,0,-0.003967,-0.021973
308,308,0,0.018921,-0.010681
309,309,0,0.010071,-0.007324
310,310,0,-0.014648,-0.01709
311,311,0,0.018005,-0.028992
312,312,0,0.017395,-0.036316
313,313,0,0.030518,0.004883
314,314,0,-0.0354,-0.024109
315,315,0,-0.032654,-0.030212
316,316,0,0.021362,-0.00885
317,317,0,-0.014648,-0.010071
318,318,0,-0.005493,-0.015259
319,319,0,0.005188,0.012207
320,320,0,0.036926,-0.014038
321,321,0,0.015869,-0.010986
322,322,0,0.032959,-0.010986
323,323,0,0.008545,0.004578
324,324,0,-0.003967,-0.004883
325,325,0,0.083923,0.00061
326,326,0,0.046692,-0.002747
327,327,0,-0.055847,-0.015259
328,328,0,0.009155,-0.02533
329,329,0,-0.003662,-0.000305
330,330,0,-0.034485,-0.011902
331,331,0,-0.048523,-0.016174
332,332,0,-0.039978,-0.021362
333,333,0,0.042114,-0.008545
334,334,0,0.019226,-0.003967
335,335,0,-0.028381,-0.027466
336,336,0,-0.018311,-0.013733
337,337,0,-0.070496,-0.012512
338,338,0,0.03418,-0.001526
339,339,0,0.003967,-0.018921
340,340,0,0.011902,-0.010681
341,341,0,0.007019,-0.011597
342,342,0,0.020142,-0.004578
343,343,0,0.016479,-0.014954
344,344,0,0.023804,-0.020752
345,345,0,0.024109,-0.014954
346,346,0,0.003052,-0.011902
347,347,0,0.007324,-0.003662
348,348,0,-0.053101,-0.014954
349,349,0,0.104065,-0.001526
350,350,0,-0.028992,-0.001831
351,351,0,-0.015259,-0.014038
352,352,0,0.039368,-0.003052
353,353,0,0.032959,-0.030212
354,354,0,0.061035,0.005188
355,355,0,0.0177,-0.004883
356,356,0,-0.023499,-0.03418
357,357,0,0.024414,0.003052
358,358,0,0.013123,-0.030823
359,359,0,0.041199,-0.011902
360,360,0,0.025635,-0.022278
361,361,0,-0.001221,-0.007324
362,362,0,0.048828,-0.019836
363,363,0,-0.024109,-0.010376
364,364,0,0.09491,0.007019
365,365,0,0.019226,-0.013123
366,366,0,-0.001221,-0.021057
367,367,0,0.045166,-0.020447
368,368,0,0.042114,-0.008545
369,369,0,0.041504,-0.004272
370,370,0,0.058289,-0.012512
371,371,0,-0.013428,-0.021667
372,372,0,0.083313,-0.004578
373,373,0,0.027771,-0.018311
374,374,0,0.061951,-0.006104
375,375,0,0.006714,0.004883
376,376,0,-0.002747,-0.011292
377,377,0,-0.022888,-0.021362
378,378,0,-0.0177,-0.006104
379,379,0,-0.036926,-0.019836
380,380,0,0.012207,0.014343
381,381,0,0.003052,-0.018311
382,382,0,-0.007019,-0.00946
383,383,0,-0.019836,-0.020142
384,384,0,-0.000916,-0.00946
385,385,0,0.021362,-0.030518
386,386,0,0.005798,-0.020142
387,387,0,-0.022278,-0.028992
388,388,0,0.015564,0.000305
389,389,0,-0.019836,-0.010071
390,390,0,-0.010681,-0.020447
391,391,0,0.001526,-0.013733
392,392,0,-0.038757,-0.018921
393,393,0,-0.038147,-0.039368
394,394,0,-0.002136,-0.027466
395,395,0,-0.005188,-0.007935
396,396,0,0.007019,-0.022583
397,397,0,0.013428,0.014648
398,398,0,-0.014343,-0.016479
399,399,0,0.016785,0
400,400,0,0.016174,-0.016479
401,401,0,0.059814,-0.007935
402,402,0,-0.012817,0.009155
403,403,0,0.021973,-0.007019
404,404,0,-0.093689,-0.02594
405,405,0,0.061035,0.000916
406,406,0,0.038147,-0.011597
407,407,0,0.016785,0.004272
408,408,0,-0.006714,-0.024719
409,409,0,0.013733,-0.001221
410,410,0,-0.007935,0.00885
411,411,0,0.027466,-0.014954
412,412,0,-0.016785,-0.030823
413,413,0,0.025024,0.007935
414,414,0,0.020447,-0.031433
415,415,0,0.041199,0.012512
416,416,0,-0.012817,-0.034485
417,417,0,-0.011597,-0.028381
418,418,0,0.032043,-0.00824
419,419,0,0.021973,-0.019226
420,420,0,0.011902,0.007935
421,421,0,0.061035,0.002441
422,422,0,-0.008545,-0.028381
423,423,0,0.079041,-0.018921
424,424,0,0.022888,-0.018616
425,425,0,0.007019,-0.002441
426,426,0,-0.031128,-0.014648
427,427,0,0.006104,0.007935
428,428,0,0.021973,-0.010681
429,429,0,-0.00824,-0.028076
430,430,0,0.016174,0.003357
431,431,0,-0.064087,-0.010681
432,432,0,-0.013428,-0.01709
433,433,0,0.048218,-0.018311
434,434,0,0.079956,-0.004272
435,435,0,0.001831,-0.016479
436,436,0,-0.003357,-0.014954
437,437,0,-0.018616,-0.020447
438,438,0,0.001526,-0.007324
439,439,0,-0.010681,-0.020142
440,440,0,-0.009766,-0.016174
441,441,0,0.007324,-0.011292
442,442,0,0.02655,-0.00946
443,443,0,0.038757,-0.020752
444,444,0,-0.008545,-0.028381
445,445,0,0.024719,-0.011292
446,446,0,0.004272,-0.015564
447,447,0,-0.03418,-0.01709
448,448,0,-0.005798,-0.010681
449,449,0,-0.015564,-0.011292
450,450,0,0.050964,-0.007629
451,451,0,0.022583,-0.032654
452,452,0,0.048828,-0.008545
453,453,0,-0.06012,-0.014343
454,454,0,-0.004883,-0.018921
455,455,0,0.046997,-0.005188
456,456,0,-0.031738,-0.00946
457,457,0,-0.00824,-0.010376
458,458,0,-0.031738,-0.010071
459,459,0,-0.028381,-0.011292
460,460,0,0.051575,-0.015564
461,461,0,0.035095,-0.013428
462,462,0,0.066223,-0.015259
463,463,0,0.020752,-0.004883
464,464,0,-0.003662,-0.009155
465,465,0,-0.046082,-0.041809
466,466,0,0.00824,-0.040283
467,467,0,-0.003662,-0.014038
468,468,0,-0.037231,-0.0177
469,469,0,-0.07843,-0.030212
470,470,0,-0.016479,-0.014038
471,471,0,-0.057678,-0.017395
472,472,0,0.022278,-0.001221
473,473,0,0.048218,-0.006409
474,474,0,-0.009155,-0.013428
475,475,0,0.076599,-0.006104
476,476,0,-0.006714,-0.038757
477,477,0,0.00885,-0.014343
478,478,0,-0.005188,-0.007324
479,479,0,0.026855,-0.00946
480,480,0,-0.002136,-0.005188
481,481,0,0.010376,-0.018005
482,482,0,-0.028687,-0.016174
483,483,0,0.083923,-0.004578
484,484,0,0.029602,-0.003357
485,485,0,-0.016174,-0.006714
486,486,0,0.050049,0.000305
487,487,0,-0.023499,-0.007935
488,488,0,0.037537,-0.007935
489,489,0,-0.010071,-0.00885
490,490,0,-0.048218,-0.019836
491,491,0,-0.06012,-0.007019
492,492,0,0.033264,-0.011292
493,493,0,0.017395,0.005188
494,494,0,0.006714,-0.015869
495,495,0,-0.007935,-0.018616
496,496,0,-0.008545,-0.013123
497,497,0,-0.006104,-0.003357
498,498,0,0.021973,0.001221
499,499,0,0.046387,-0.005798
500,500,0,0.068359,-0.007935
501,501,0,0.010986,-0.016174
502,502,0,0.013733,-0.006714
503,503,0,-0.001831,-0.001526
504,504,0,0.005188,0.002136
505,505,0,0.020752,-0.021973
506,506,0,-0.041199,-0.018311
507,507,0,-0.032959,-0.013428
508,508,0,-0.002747,-0.019531
509,509,0,0.002441,-0.005188
510,510,0,0.032349,0.003357
511,511,0,-0.006104,-0.029907
512,512,0,0.020447,-0.027161
513,513,0,0.036316,-0.014648
514,514,0,0.08606,-0.002747
515,515,0,0.035706,-0.006104
516,516,0,-0.013428,-0.004272
517,517,0,0.005188,-0.00824
518,518,0,0.003357,-0.010681
519,519,0,0.003967,-0.024109
520,520,0,0.012207,-0.021667
521,521,0,0.032959,-0.002747
522,522,0,-0.024414,-0.012512
523,523,0,0.06897,-0.002747
524,524,0,0.010986,-0.003662
525,525,0,-0.024414,-0.019226
526,526,0,0.012207,-0.027771
527,527,0,-0.075378,-0.0177
528,528,0,-0.032654,-0.001221
529,529,0,-0.016785,-0.014954
530,530,0,0.044556,-0.003357
531,531,0,-0.003357,0.004578
532,532,0,0.007019,-0.00824
533,533,0,0.033875,-0.007324
534,534,0,-0.029297,-0.012512
535,535,0,-0.063171,-0.009155
536,536,0,0.084534,0.004578
537,537,0,-0.039368,-0.010071
538,538,0,0.014648,0.003357
539,539,0,0.007324,0.001831
540,540,0,0.031738,0.016785
541,541,0,0.018616,0.02533
542,542,0,-0.012512,0.016174
543,543,0,0.011902,-0.020752
544,544,0,0.05249,-0.004578
545,545,0,0.092163,-0.001526
546,546,0,-0.010681,-0.027771
547,547,0,-0.028992,-0.019531
548,548,0,0.066833,-0.008545
549,549,0,0.020752,-0.003052
550,550,0,0.016785,-0.034485
551,551,0,-0.011597,-0.007629
552,552,0,0.013123,-0.00885
553,553,0,0.007019,-0.006104
554,554,0,0.091553,-0.000916
555,555,0,0.056458,0.006104
556,556,0,-0.015259,-0.010071
557,557,0,-0.004578,-0.015259
558,558,0,0.029907,0.003967
559,559,0,-0.033569,-0.009155
560,560,0,-0.013428,-0.018311
561,561,0,0.007324,-0.00061
562,562,0,-0.071716,-0.00885
563,563,0,-0.001221,-0.014648
564,564,0,0.056458,0.009766
565,565,0,0.050964,0.011902
566,566,0,0.052185,0.00061
567,567,0,0.049438,0.013733
568,568,0,0.074768,-0.006714
569,569,0,0.083008,0.000916
570,570,0,0.032043,-0.005493
571,571,0,0.005188,-0.009766
572,572,0,0.043335,-0.004578
573,573,0,0.014038,-0.002747
574,574,0,0.020142,-0.007019
575,575,0,-0.074158,-0.016479
576,576,0,0.002747,-0.013428
577,577,0,-0.003967,-0.004883
578,578,0,0.032959,-0.001831
579,579,0,-0.06897,-0.021057
580,580,0,0.089417,0.006714
581,581,0,0.002441,-0.002136
582,582,0,-0.035706,0.002747
583,583,0,0.063171,-0.003052
584,584,0,-0.044556,-0.012512
585,585,0,0.102234,-0.011902
586,586,0,0.05188,0.007019
587,587,0,0.077515,-0.005493
588,588,0,0.031738,-0.011597
589,589,0,-0.002136,-0.000916
590,590,0,-0.025635,-0.010681
591,591,0,0.045776,-0.007935
592,592,0,-0.027466,-0.018921
593,593,0,-0.021362,-0.021973
594,594,0,0.034485,0.028992
